dataset_id,input_csv,n_events,n_positive,fraction_positive,n_abs_residual_ge_2,sign_p_value,p_value_convention,residual_column
phase1_gwtc2_tgr_imr,runs/paper4_qnm_dataset_schema_v2_renamed/qnm_dataset_220.csv,16,14,0.875,0,0.0020904541015625,exact_binomial_via_math_comb; one-sided positive; zeros (residual_f == 0) counted as not-positive; binomial uses n_total,residual_f
gwtc4_pseobnr,runs/paper4_qnm_dataset_gwtc4_pseobnr_v1/qnm_dataset_220.csv,9,9,1.0,0,0.001953125,exact_binomial_via_math_comb; one-sided positive; zeros (residual_f == 0) counted as not-positive; binomial uses n_total,residual_f
