event,residual_f_phase1,residual_f_gwtc4,sign_phase1,sign_gwtc4,sign_agrees,both_positive
GW150914,0.8629635794524696,0.7310737030946435,1,1,True,True
GW170104,0.5214817530000329,0.2279633616844384,1,1,True,True
GW190521_074359,0.6447721387193375,0.6095383291672846,1,1,True,True
GW190828_063405,0.4291616558657538,0.8211838353445386,1,1,True,True
GW190910_112807,0.4175445673452388,0.2844516839852642,1,1,True,True
