event,SNR,snr_rank_overlap,high_snr_overlap,high_snr_lost_tail,max_abs_residual_t66,max_abs_residual_t82a,delta_max_abs_residual,residual_f_t66,residual_f_t82a,residual_gamma_t66,residual_gamma_t82a,dominant_residual_component_t66,dominant_residual_component_t82a,f_obs_t66,f_obs_t82a,delta_f_obs_hz,gamma_obs_t66,gamma_obs_t82a,delta_gamma_obs_hz,tau_ms_t66,tau_ms_t82a,delta_tau_ms,sigma_f_obs_t66,sigma_f_obs_t82a,sigma_gamma_obs_t66,sigma_gamma_obs_t82a,f_kerr_t66,f_kerr_t82a,delta_f_kerr_hz,gamma_kerr_t66,gamma_kerr_t82a,delta_gamma_kerr_hz,sigma_f_kerr_t66,sigma_f_kerr_t82a,sigma_gamma_kerr_t66,sigma_gamma_kerr_t82a,shapley_OBS_SHIFT,shapley_OBS_SIGMA_CHANGE,shapley_KERR_PREDICTION_CHANGE,shapley_KERR_SIGMA_CHANGE,dominant_driver,driver_rule_note,t66_verdict,t82a_verdict,tail_high_t66,tail_high_t82a,lost_high_tail_in_t82a,t82a_no_improvement
GW150914,26.0,1,true,true,1.6825246239592797,0.7310737030946435,-0.9514509208646362,0.8629635794524696,0.7310737030946435,1.6825246239592797,0.1835200407310357,gamma,f,248.0,253.3,5.300000000000011,238.09523809523807,221.72949002217297,-16.365748073065106,4.2,4.51,0.3099999999999996,7.5,17.9,14.17233560090703,69.32119311114498,233.80159929295635,236.2376454784945,2.436046185538146,203.47117320151472,208.7208932587622,5.249720057247487,14.64423205616978,14.976240211189468,14.920631319569411,14.801501225642433,-0.12134907429644426,-0.6640081234766468,-0.16193111561424067,-0.004162607477304329,OBS_SIGMA_CHANGE,same_direction_share=0.698; opposing_abs=0,marginal,consistent,true,false,true,false
GW190521_074359,25.9,2,true,true,1.3236719708272138,0.6095383291672846,-0.7141336416599292,0.6447721387193375,0.6095383291672846,1.3236719708272138,0.4024978431653734,gamma,f,198.0,204.0,6.0,185.18518518518516,182.14936247723134,-3.0358227079538267,5.4,5.49,0.08999999999999986,7.0,24.4,13.717421124828531,63.038941476637426,185.47388574211587,185.47388574211587,0.0,155.82415941159934,155.82415941159934,0.0,18.122249223596036,18.122249223596036,17.43132709485553,17.43132709485553,0.011880794220264028,-0.7260144358801934,0.0,0.0,OBS_SIGMA_CHANGE,same_direction_share=1.000; opposing_abs=0.0119,marginal,consistent,true,false,true,false
GW190828_063405,16.5,3,false,false,0.7992224979144349,0.8211838353445386,0.021961337430103756,0.4291616558657538,0.8211838353445386,0.7992224979144349,-0.2758647915051895,gamma,f,239.0,252.4,13.400000000000006,208.33333333333334,156.00624024961,-52.327093083723355,4.8,6.41,1.6100000000000003,10.5,20.3,23.87152777777778,69.11976947096603,224.61669574587538,221.68691275788575,-2.9297829879896256,178.88203401370416,176.54879009178632,-2.333243921917841,31.827623657306592,31.412480740037385,28.07255022013894,27.706386521615396,0.19610364198849228,-0.2536200661574584,0.07279086895493954,0.006686892644130429,MIXED,largest_same=OBS_SHIFT; share=0.712; opposing_abs=0.254,consistent,consistent,false,false,false,true
GW190519_153544,15.9,4,false,false,0.7882835823248424,0.46170622730077493,-0.3265773550240675,0.4415955747558643,0.15252323755700734,0.7882835823248424,0.46170622730077493,gamma,gamma,127.0,121.7,-5.299999999999997,105.26315789473684,116.95906432748536,11.69590643274853,9.5,8.55,-0.9499999999999993,9.0,14.3,17.72853185595568,64.9772579597141,118.22851064433493,118.22851064433493,0.0,85.96186380585411,85.96186380585411,0.0,17.70722019032332,17.70722019032332,16.888605029243454,16.888605029243454,0.27699727028244947,-0.6035746253065173,0.0,0.0,OBS_SIGMA_CHANGE,same_direction_share=1.000; opposing_abs=0.277,consistent,consistent,false,false,false,false
GW190910_112807,14.5,5,false,false,0.8547535574755591,0.9290174281600072,0.07426387068444806,0.4175445673452388,0.2844516839852642,0.8547535574755591,-0.9290174281600072,gamma,gamma,177.0,174.5,-2.5,169.4915254237288,105.3740779768177,-64.1174474469111,5.9,9.49,3.59,8.0,12.2,18.67279517380063,38.418789230747024,167.54855586573984,167.54855586573984,0.0,145.81295137979268,145.81295137979268,0.0,21.174943426475227,21.174943426475227,20.46313525526528,20.46313525526528,0.49502852369080985,-0.42076465300636184,0.0,0.0,OBS_SHIFT,same_direction_share=1.000; opposing_abs=0.421,consistent,consistent,false,false,false,true
GW170104,13.8,6,false,false,1.0150584554967024,0.27861369692885685,-0.7364447585678455,0.5214817530000329,0.2279633616844384,1.0150584554967024,-0.27861369692885685,gamma,gamma,287.0,284.8,-2.1999999999999886,285.7142857142857,203.66598778004072,-82.048297934245,3.5,4.91,1.4100000000000001,20.0,36.8,28.571428571428573,148.49780779074254,268.9698322140416,274.06925341622184,5.099421202180224,244.9014595025874,245.82214040178678,0.9206808991993967,28.203229633576502,29.352274014121175,28.289674811491093,29.01990699739056,0.005945331766192575,-0.6929520262760058,-0.04164322990896858,-0.007794834149063619,OBS_SIGMA_CHANGE,same_direction_share=0.933; opposing_abs=0.00595,marginal,consistent,true,false,true,false
